stateName,activity,avg
Maine,Work,229
Connecticut,Work,298.7272727
California,Work,241.8013699
Virginia,Work,360.8648649
Oregon,Work,300.2592593
Minnesota,Work,244.7804878
Missouri,Work,292.16
Arkansas,Work,367
Nevada,Work,251.0625
Idaho,Work,372.5
New York,Work,268.6455696
Texas,Work,319.7804878
Illinois,Work,317.5
Washington,Work,300.8275862
Kansas,Work,258.5714286
Oklahoma,Work,383.375
Pennsylvania,Work,299.6507937
Kentucky,Work,361.8666667
Arizona,Work,311.4583333
Florida,Work,196.5373134
Ohio,Work,262.8510638
Georgia,Work,240.3333333
Colorado,Work,277.7352941
Massachusetts,Work,370.0769231
North Carolina,Work,271.875
Maryland,Work,406.6296296
New Mexico,Work,260.3076923
Michigan,Work,253.3513514
Wisconsin,Work,328.5483871
Vermont,Work,289
South Carolina,Work,256.25
Indiana,Work,293.3214286
Louisiana,Work,374.4761905
Alabama,Work,202.7272727
Montana,Work,270.6
Iowa,Work,375.3333333
Tennessee,Work,346.1176471
New Jersey,Work,237.5666667
Hawaii,Work,89
District of Columbia,Work,186.25
Delaware,Work,208.8
Mississippi,Work,240.4
West Virginia,Work,257.5
Utah,Work,412.2222222
Alaska,Work,320
New Hampshire,Work,334
South Dakota,Work,110
Nebraska,Work,313.0909091
North Dakota,Work,0
Maine,Leisure,307.5
Connecticut,Leisure,356
California,Leisure,304.4452055
Virginia,Leisure,273.8108108
Oregon,Leisure,282.1481481
Minnesota,Leisure,351.195122
Missouri,Leisure,279.2
Arkansas,Leisure,232.3636364
Nevada,Leisure,344.25
Idaho,Leisure,172.5
New York,Leisure,296.5949367
Texas,Leisure,263.2764228
Illinois,Leisure,253.0322581
Washington,Leisure,252.8965517
Kansas,Leisure,327.9047619
Oklahoma,Leisure,300.5625
Pennsylvania,Leisure,299.031746
Kentucky,Leisure,279.1333333
Arizona,Leisure,285.2083333
Florida,Leisure,305.8507463
Ohio,Leisure,334.6595745
Georgia,Leisure,252.5
Colorado,Leisure,265.5882353
Massachusetts,Leisure,247
North Carolina,Leisure,299.09375
Maryland,Leisure,189.2222222
New Mexico,Leisure,239.9230769
Michigan,Leisure,274.7027027
Wisconsin,Leisure,295.9354839
Vermont,Leisure,300
South Carolina,Leisure,335.5416667
Indiana,Leisure,283.6071429
Louisiana,Leisure,231.2380952
Alabama,Leisure,340.6818182
Montana,Leisure,284.8
Iowa,Leisure,213.7333333
Tennessee,Leisure,273.2352941
New Jersey,Leisure,294.6333333
Hawaii,Leisure,349.6
District of Columbia,Leisure,416
Delaware,Leisure,356.8
Mississippi,Leisure,264.8
West Virginia,Leisure,236.2
Utah,Leisure,237.8888889
Alaska,Leisure,193.3333333
New Hampshire,Leisure,288
South Dakota,Leisure,387.4285714
Nebraska,Leisure,282.7272727
North Dakota,Leisure,497.6
Maine,Personal Care,578.5
Connecticut,Personal Care,570
California,Personal Care,594.9657534
Virginia,Personal Care,553.2432432
Oregon,Personal Care,563.0740741
Minnesota,Personal Care,602.4878049
Missouri,Personal Care,584.16
Arkansas,Personal Care,589.6363636
Nevada,Personal Care,555.75
Idaho,Personal Care,560.5
New York,Personal Care,559.7468354
Texas,Personal Care,589.495935
Illinois,Personal Care,583.0645161
Washington,Personal Care,576.6896552
Kansas,Personal Care,623.3333333
Oklahoma,Personal Care,557.5
Pennsylvania,Personal Care,549.5238095
Kentucky,Personal Care,488.1333333
Arizona,Personal Care,553.875
Florida,Personal Care,623.2985075
Ohio,Personal Care,581.6170213
Georgia,Personal Care,630.6333333
Colorado,Personal Care,567.7941176
Massachusetts,Personal Care,520.6153846
North Carolina,Personal Care,587.28125
Maryland,Personal Care,592.8518519
New Mexico,Personal Care,584.3076923
Michigan,Personal Care,579.1081081
Wisconsin,Personal Care,566.8709677
Vermont,Personal Care,591.25
South Carolina,Personal Care,571.9166667
Indiana,Personal Care,529.3928571
Louisiana,Personal Care,545.8095238
Alabama,Personal Care,602.4090909
Montana,Personal Care,630
Iowa,Personal Care,535.2666667
Tennessee,Personal Care,509.5882353
New Jersey,Personal Care,573.5
Hawaii,Personal Care,549.4
District of Columbia,Personal Care,623.25
Delaware,Personal Care,614
Mississippi,Personal Care,705.6
West Virginia,Personal Care,559.2
Utah,Personal Care,572
Alaska,Personal Care,566.6666667
New Hampshire,Personal Care,492
South Dakota,Personal Care,591.4285714
Nebraska,Personal Care,640.9090909
North Dakota,Personal Care,616
Maine,Education,0
Connecticut,Education,0
California,Education,0
Virginia,Education,4.864864865
Oregon,Education,0
Minnesota,Education,0
Missouri,Education,0
Arkansas,Education,0
Nevada,Education,0
Idaho,Education,0
New York,Education,6.455696203
Texas,Education,6.422764228
Illinois,Education,15.14516129
Washington,Education,0
Kansas,Education,0
Oklahoma,Education,0
Pennsylvania,Education,3.333333333
Kentucky,Education,0
Arizona,Education,0
Florida,Education,1.791044776
Ohio,Education,0
Georgia,Education,13.33333333
Colorado,Education,0
Massachusetts,Education,0
North Carolina,Education,0
Maryland,Education,0.740740741
New Mexico,Education,0
Michigan,Education,10
Wisconsin,Education,0.483870968
Vermont,Education,0
South Carolina,Education,0
Indiana,Education,0
Louisiana,Education,0
Alabama,Education,0
Montana,Education,0
Iowa,Education,0
Tennessee,Education,0
New Jersey,Education,0
Hawaii,Education,0
District of Columbia,Education,11.25
Delaware,Education,0
Mississippi,Education,0
West Virginia,Education,0
Utah,Education,0
Alaska,Education,0
New Hampshire,Education,0
South Dakota,Education,0
Nebraska,Education,0
North Dakota,Education,0
