label,bar,time,category
Female,Work,260.6111,Gender
Male,Work,302.2952,Gender
Female,Travel,76.5262,Gender
Male,Travel,82.3409,Gender
Female,Household,114.5248,Gender
Male,Household,80.8082,Gender
Female,Personal Care,605.4108,Gender
Male,Personal Care,557.8684,Gender
Female,Leisure,266.4731,Gender
Male,Leisure,304.4402,Gender
Full time,Work,294.1522,Employment
Part time,Work,212.9765,Employment
Full time,Travel,80.5880,Employment
Part time,Travel,74.1571,Employment
Full time,Household,95.0340,Employment
Part time,Household,109.0519,Employment
Full time,Personal Care,574.3384,Employment
Part time,Personal Care,610.0529,Employment
Full time,Leisure,281.1403,Employment
Part time,Leisure,332.9588,Employment
$100k+,Work,289.7195,Income
$25k-$50k,Work,312.2685,Income
$50k-$75k,Work,288.2112,Income
$75k-$100k,Work,242.1053,Income
Below $25k,Work,251.5864,Income
$100k+,Travel,87.5828,Income
$25k-$50k,Travel,72.6217,Income
$50k-$75k,Travel,80.4024,Income
$75k-$100k,Travel,85.8185,Income
Below $25k,Travel,67.8259,Income
$100k+,Household,99.7764,Income
$25k-$50k,Household,95.7660,Income
$50k-$75k,Household,92.2205,Income
$75k-$100k,Household,105.1210,Income
Below $25k,Household,95.3956,Income
$100k+,Personal Care,558.5528,Income
$25k-$50k,Personal Care,581.1601,Income
$50k-$75k,Personal Care,570.6403,Income
$75k-$100k,Personal Care,588.2164,Income
Below $25k,Personal Care,601.3045,Income
$100k+,Leisure,278.0244,Income
$25k-$50k,Leisure,284.0739,Income
$50k-$75k,Leisure,283.8713,Income
$75k-$100k,Leisure,303.2222,Income
Below $25k,Leisure,298.3273,Income
Asian only,Work,264.6571,Race
Black only,Work,269.1150,Race
Mixed/Other,Work,361.7778,Race
White only,Work,285.7584,Race
Asian only,Travel,81.1378,Race
Black only,Travel,74.9118,Race
Mixed/Other,Travel,79.4656,Race
White only,Travel,80.1203,Race
Asian only,Household,100.1200,Race
Black only,Household,73.4237,Race
Mixed/Other,Household,97.4808,Race
White only,Household,100.1200,Race
Asian only,Personal Care,600.1714,Race
Black only,Personal Care,600.1150,Race
Mixed/Other,Personal Care,545.8056,Race
White only,Personal Care,573.8107,Race
Asian only,Leisure,246.7286,Race
Black only,Leisure,307.3673,Race
Mixed/Other,Leisure,259.7778,Race
White only,Leisure,287.1164,Race
